starttime	seconds	ctime	dtime	ttime	wait
Fri Nov 29 14:12:39 2013	1385714559	1	3	3	2
Fri Nov 29 14:12:39 2013	1385714559	1	5	6	5
Fri Nov 29 14:12:39 2013	1385714559	0	7	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
Fri Nov 29 14:12:39 2013	1385714559	0	8	8	7
