starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 01 19:58:48 2013	1385908128	1	4	4	3
Sun Dec 01 19:58:48 2013	1385908128	1	6	7	6
Sun Dec 01 19:58:48 2013	1385908128	1	9	9	8
Sun Dec 01 19:58:48 2013	1385908128	0	12	12	11
Sun Dec 01 19:58:48 2013	1385908128	0	14	15	14
Sun Dec 01 19:58:48 2013	1385908128	0	17	17	16
Sun Dec 01 19:58:48 2013	1385908128	0	20	20	20
Sun Dec 01 19:58:48 2013	1385908128	0	21	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	21	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	21
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	22	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	22	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	23
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	23
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	22
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	23
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	23
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	23
Sun Dec 01 19:58:48 2013	1385908128	0	23	23	23
Sun Dec 01 19:58:48 2013	1385908128	0	23	24	23
Sun Dec 01 19:58:48 2013	1385908128	0	24	24	23
Sun Dec 01 19:58:48 2013	1385908128	0	24	24	23
Sun Dec 01 19:58:48 2013	1385908128	0	24	24	23
Sun Dec 01 19:58:48 2013	1385908128	0	24	24	24
Sun Dec 01 19:58:48 2013	1385908128	0	24	24	24
Sun Dec 01 19:58:48 2013	1385908128	0	24	24	24
Sun Dec 01 19:58:48 2013	1385908128	0	25	25	24
Sun Dec 01 19:58:48 2013	1385908128	0	25	25	24
Sun Dec 01 19:58:48 2013	1385908128	0	25	25	25
Sun Dec 01 19:58:48 2013	1385908128	0	25	26	25
Sun Dec 01 19:58:48 2013	1385908128	0	26	26	25
Sun Dec 01 19:58:48 2013	1385908128	0	26	26	25
Sun Dec 01 19:58:48 2013	1385908128	0	26	26	26
Sun Dec 01 19:58:48 2013	1385908128	0	27	27	26
Sun Dec 01 19:58:48 2013	1385908128	0	27	27	26
Sun Dec 01 19:58:48 2013	1385908128	0	27	27	26
Sun Dec 01 19:58:48 2013	1385908128	0	27	27	27
Sun Dec 01 19:58:48 2013	1385908128	0	27	27	27
Sun Dec 01 19:58:48 2013	1385908128	0	27	27	27
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	27
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	27
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	27
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	27
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	27
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	27
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	28
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	28
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	28
Sun Dec 01 19:58:48 2013	1385908128	0	28	28	28
Sun Dec 01 19:58:48 2013	1385908128	0	28	29	28
Sun Dec 01 19:58:48 2013	1385908128	0	29	29	28
Sun Dec 01 19:58:48 2013	1385908128	0	29	29	24
Sun Dec 01 19:58:48 2013	1385908128	0	29	29	28
Sun Dec 01 19:58:48 2013	1385908128	0	29	29	28
Sun Dec 01 19:58:48 2013	1385908128	0	29	29	28
Sun Dec 01 19:58:48 2013	1385908128	0	29	29	28
Sun Dec 01 19:58:48 2013	1385908128	0	30	30	29
Sun Dec 01 19:58:48 2013	1385908128	0	30	30	29
Sun Dec 01 19:58:48 2013	1385908128	0	31	31	30
Sun Dec 01 19:58:48 2013	1385908128	0	31	31	30
Sun Dec 01 19:58:48 2013	1385908128	0	31	31	30
Sun Dec 01 19:58:48 2013	1385908128	0	31	31	30
Sun Dec 01 19:58:48 2013	1385908128	0	32	32	31
Sun Dec 01 19:58:48 2013	1385908128	0	32	32	32
Sun Dec 01 19:58:48 2013	1385908128	0	32	33	32
Sun Dec 01 19:58:48 2013	1385908128	0	33	33	32
Sun Dec 01 19:58:48 2013	1385908128	0	34	34	33
Sun Dec 01 19:58:48 2013	1385908128	0	34	34	33
Sun Dec 01 19:58:48 2013	1385908128	0	35	35	34
Sun Dec 01 19:58:48 2013	1385908128	0	35	35	34
